,Unnamed: 0.1,Unnamed: 0,ID,Rodada,Data,Casa,Fora,Gol_Casa,Gol_Fora,Escanteios_Casa,Escanteios_Fora,Cartao_Amarelo_Casa,Cartao_Amarelo_Fora,Cartao_Vermelho_Casa,Cartao_Vermelho_Fora,PrimeiroGol,Posse_De_Bola_Casa,Posse_De_Bola_Fora,AtaquePerigoso_Casa,AtaquePerigoso_Fora,Ataque_Casa,Ataque_Fora,Finalizacao_Gol_Casa,Finalizacao_Gol_Fora,Finalizacao_Casa,Finalizacao_Fora
549,549.0,550.0,2023-6América MineiroCruzeiro,6,2023/05/14 18:30,América Mineiro,Cruzeiro,0,4,5,6,2,0,0,0,33' - 1st Goal - Henrique (Cruzeiro) - Header,47,53,53,45,113,123,3,8,14,8
550,550.0,551.0,2023-6CorinthiansSão Paulo,6,2023/05/14 16:00,Corinthians,São Paulo,1,1,5,4,2,4,0,0,15' - 1st Goal - Araujo (Sao Paulo) -,34,66,57,48,75,144,3,3,5,6
551,551.0,552.0,2023-6Vasco da GamaSantos,6,2023/05/14 16:00,Vasco da Gama,Santos,0,1,14,1,4,1,0,0,29' - 1st Goal - Deivid Washington (Santos) - Shot,70,30,91,25,156,68,9,1,15,5
552,552.0,553.0,2023-6GrêmioFortaleza EC,6,2023/05/14 16:00,Grêmio,Fortaleza EC,0,0,9,5,3,4,0,0,,57,43,69,37,135,95,1,5,16,10
553,553.0,554.0,2023-6Atlético MineiroInternacional,6,2023/05/13 21:00,Atlético Mineiro,Internacional,2,0,3,3,2,3,0,0,3' - 1st Goal - Vargas (Atletico Mineiro) - Header,54,46,33,43,119,108,4,4,10,2
554,554.0,555.0,2023-6PalmeirasBragantino,6,2023/05/13 18:30,Palmeiras,Bragantino,1,1,15,6,1,4,0,0,65' - 1st Goal - Artur (Palmeiras) - Header (Assist: Gomez),58,42,72,30,113,98,5,4,17,5
555,555.0,556.0,2023-6FluminenseCuiabá EC,6,2023/05/13 18:30,Fluminense,Cuiabá EC,2,0,7,3,3,4,0,0,6' - 1st Goal - Nino (Fluminense) -,62,38,38,48,93,109,2,3,5,13
556,556.0,557.0,2023-6EC BahiaFlamengo,6,2023/05/13 16:00,EC Bahia,Flamengo,2,3,10,4,5,5,2,0,23' - 1st Goal - Matheus Franca (Flamengo) -,52,48,65,40,103,86,6,5,14,10
557,557.0,558.0,2023-5Fortaleza ECSão Paulo,5,2023/05/11 20:00,Fortaleza EC,São Paulo,0,0,4,10,2,4,1,1,,44,56,41,37,97,107,4,1,12,12
558,558.0,559.0,2023-5BotafogoCorinthians,5,2023/05/11 19:30,Botafogo,Corinthians,3,0,3,3,1,2,0,0,12' - 1st Goal - Tiquinho Soares (Botafogo) -,54,46,50,41,109,124,7,4,8,8
559,559.0,560.0,2023-5CoritibaVasco da Gama,5,2023/05/11 19:00,Coritiba,Vasco da Gama,1,1,5,5,2,1,0,0,45+4' - 1st Goal - Ze Roberto (Coritiba) - (Assist: Robson),41,59,29,55,94,144,5,3,6,5
560,560.0,561.0,2023-5CruzeiroFluminense,5,2023/05/10 21:30,Cruzeiro,Fluminense,0,2,16,3,1,5,0,1,44' - 1st Goal - Ganso (Fluminense) -,48,52,90,31,114,54,5,6,23,4
561,561.0,562.0,2023-5PalmeirasGrêmio,5,2023/05/10 21:30,Palmeiras,Grêmio,4,1,7,4,2,4,0,0,24' - 1st Goal - Raphael Veiga (Palmeiras) -,58,42,45,23,107,79,11,2,12,0
562,562.0,563.0,2023-5Cuiabá ECAtlético Mineiro,5,2023/05/10 20:00,Cuiabá EC,Atlético Mineiro,0,4,6,1,1,2,0,0,13' - 1st Goal - Hyoran (Atletico Mineiro) -,47,53,35,19,83,72,1,7,4,0
563,563.0,564.0,2023-5FlamengoGoiás,5,2023/05/10 20:00,Flamengo,Goiás,2,0,8,7,0,1,0,0,8' - 1st Goal - Pedro (Flamengo) - Penalty,57,43,66,20,90,72,6,5,11,8
564,564.0,565.0,2023-5SantosEC Bahia,5,2023/05/10 19:00,Santos,EC Bahia,3,0,1,4,3,4,0,0,4' - 1st Goal - Deivid Washington (Santos) -,40,60,27,34,87,125,8,3,5,14
565,565.0,566.0,2023-5InternacionalAthletico Paranaense,5,2023/05/10 19:00,Internacional,Athletico Paranaense,0,2,4,3,2,4,0,0,79' - 1st Goal - Christian (Athletico Paranaense) -,46,54,48,53,82,104,3,5,9,9
566,566.0,567.0,2023-5BragantinoAmérica Mineiro,5,2023/05/10 19:00,Bragantino,América Mineiro,2,2,5,4,5,3,0,0,15' - 1st Goal - Aloisio (America MG) -,59,41,72,27,145,61,9,3,12,5
567,567.0,568.0,2023-4CorinthiansFortaleza EC,4,2023/05/08 20:00,Corinthians,Fortaleza EC,1,1,5,5,2,2,0,0,79' - 1st Goal - Caio Alexandre (Fortaleza) -,49,51,109,91,131,130,7,2,10,9
568,568.0,569.0,2023-4BotafogoAtlético Mineiro,4,2023/05/07 18:30,Botafogo,Atlético Mineiro,2,0,5,9,1,3,0,0,30' - 1st Goal - Victor Sa (Botafogo) - Shot (Assist: Di Placido),39,61,45,38,77,102,6,1,11,7
569,569.0,570.0,2023-4GoiásPalmeiras,4,2023/05/07 18:30,Goiás,Palmeiras,0,5,4,6,2,6,1,0,10' - 1st Goal - Artur (Palmeiras) -,44,56,31,49,87,101,2,7,12,6
570,570.0,571.0,2023-4GrêmioBragantino,4,2023/05/07 18:30,Grêmio,Bragantino,3,3,4,7,5,2,0,0,6' - 1st Goal - Cristaldo (Gremio) -,42,58,28,66,80,128,3,8,7,11
571,571.0,572.0,2023-4São PauloInternacional,4,2023/05/07 16:00,São Paulo,Internacional,2,0,4,9,3,4,0,0,33' - 1st Goal - Luciano (Sao Paulo) -,43,57,33,51,85,115,3,3,3,13
572,572.0,573.0,2023-4EC BahiaCoritiba,4,2023/05/07 16:00,EC Bahia,Coritiba,3,1,3,5,2,7,0,0,16' - 1st Goal - Victor Luis (Bahia) - Own Goal,51,49,52,28,105,136,6,5,9,5
573,573.0,574.0,2023-4Athletico ParanaenseFlamengo,4,2023/05/07 16:00,Athletico Paranaense,Flamengo,2,1,2,8,2,2,0,0,16' - 1st Goal - Gabriel Barbosa (Flamengo) -,39,61,43,67,67,124,6,5,6,9
574,574.0,575.0,2023-4América MineiroCuiabá EC,4,2023/05/07 11:00,América Mineiro,Cuiabá EC,1,2,4,6,3,3,1,0,12' - 1st Goal - Aloisio (America MG) -,45,55,64,52,129,110,4,6,11,5
575,575.0,576.0,2023-4FluminenseVasco da Gama,4,2023/05/06 21:00,Fluminense,Vasco da Gama,1,1,9,1,3,3,0,0,1' - 1st Goal - Pedro Raul (Vasco da Gama) -,79,21,115,19,172,47,8,1,15,8
576,576.0,577.0,2023-4CruzeiroSantos,4,2023/05/06 16:00,Cruzeiro,Santos,2,1,4,4,5,3,0,0,21' - 1st Goal - Wesley (Cruzeiro) - Shot,55,45,44,53,129,93,3,4,7,7
577,577.0,578.0,2023-3Vasco da GamaEC Bahia,3,2023/05/01 20:00,Vasco da Gama,EC Bahia,0,1,7,6,1,4,0,0,44' - 1st Goal - Thaciano (Bahia) -,55,45,46,45,124,80,7,6,10,5
578,578.0,579.0,2023-3InternacionalGoiás,3,2023/04/30 18:30,Internacional,Goiás,1,0,8,11,4,1,0,1,53' - 1st Goal - De Pena (Internacional) -,57,43,54,46,91,96,8,3,10,13
579,579.0,580.0,2023-3Cuiabá ECGrêmio,3,2023/04/30 18:30,Cuiabá EC,Grêmio,1,2,7,5,4,5,1,0,10' - 1st Goal - Vinicius (Gremio) - Header (Assist: Da Silva),51,49,72,44,117,92,5,5,11,6
580,580.0,581.0,2023-3FlamengoBotafogo,3,2023/04/30 16:00,Flamengo,Botafogo,2,3,7,2,4,3,0,1,30' - 1st Goal - Tiquinho Soares (Botafogo) -,74,26,87,26,150,58,11,6,14,7
581,581.0,582.0,2023-3Atlético MineiroAthletico Paranaense,3,2023/04/29 21:00,Atlético Mineiro,Athletico Paranaense,2,1,1,5,2,2,0,1,10' - 1st Goal - Hulk (Atletico Mineiro) - Shot (Assist: Edenilson),59,41,48,33,127,84,7,3,11,5
582,582.0,583.0,2023-3PalmeirasCorinthians,3,2023/04/29 18:30,Palmeiras,Corinthians,2,1,12,3,3,3,0,0,16' - 1st Goal - Murilo (Palmeiras) -,54,46,66,39,114,104,6,3,15,7
583,583.0,584.0,2023-3BragantinoCruzeiro,3,2023/04/29 18:30,Bragantino,Cruzeiro,0,3,5,9,3,3,1,0,1' - 1st Goal - Ramiro (Cruzeiro) - Shot,45,55,44,55,117,104,5,5,7,14
584,584.0,585.0,2023-3SantosAmérica Mineiro,3,2023/04/29 18:30,Santos,América Mineiro,3,2,2,6,3,4,1,0,7' - 1st Goal - Ale (America MG) -,44,56,39,51,95,127,6,7,5,12
585,585.0,586.0,2023-3Fortaleza ECFluminense,3,2023/04/29 16:30,Fortaleza EC,Fluminense,4,2,8,5,0,3,0,0,29' - 1st Goal - Thiago Galhardo (Fortaleza) -,30,70,38,71,70,128,15,3,4,8
586,586.0,587.0,2023-3CoritibaSão Paulo,3,2023/04/29 16:30,Coritiba,São Paulo,1,1,7,6,4,1,0,0,12' - 1st Goal - Bruno Gomes (Coritiba) -,40,60,47,37,82,134,4,7,13,14
587,587.0,588.0,2023-2EC BahiaBotafogo,2,2023/04/24 20:00,EC Bahia,Botafogo,1,2,6,3,1,2,0,0,29' - 1st Goal - Junior Santos (Botafogo) - Shot,60,40,54,30,127,110,5,4,8,2
588,588.0,589.0,2023-2GoiásCorinthians,2,2023/04/23 19:00,Goiás,Corinthians,3,1,5,8,5,2,4,1,17' - 1st Goal - Roger Guedes (Corinthians) - Shot,51,49,65,33,124,72,6,2,12,8
589,589.0,590.0,2023-2CoritibaFortaleza EC,2,2023/04/23 18:30,Coritiba,Fortaleza EC,0,3,3,7,1,2,0,0,51' - 1st Goal - Bruno Pacheco (Fortaleza) - Shot (Assist: Pochettino),59,41,29,43,120,83,8,8,10,5
590,590.0,591.0,2023-2Vasco da GamaPalmeiras,2,2023/04/23 16:00,Vasco da Gama,Palmeiras,2,2,2,5,4,3,0,1,29' - 1st Goal - Pedro Raul (Vasco da Gama) -,36,64,37,53,88,132,3,6,8,7
591,591.0,592.0,2023-2SantosAtlético Mineiro,2,2023/04/23 16:00,Santos,Atlético Mineiro,0,0,9,6,3,3,0,1,,38,62,38,65,105,130,1,4,10,10
592,592.0,593.0,2023-2InternacionalFlamengo,2,2023/04/23 11:00,Internacional,Flamengo,2,1,6,2,3,0,2,3,63' - 1st Goal - Gerson (Flamengo) -,36,64,41,51,87,129,4,5,12,12
593,593.0,594.0,2023-2CruzeiroGrêmio,2,2023/04/22 21:00,Cruzeiro,Grêmio,1,0,11,5,5,2,1,0,64' - 1st Goal - Bruno Rodrigues (Cruzeiro) - Shot,49,51,60,44,134,109,5,7,17,4
594,594.0,595.0,2023-2Cuiabá ECBragantino,2,2023/04/22 18:30,Cuiabá EC,Bragantino,1,1,4,5,3,3,0,0,67' - 1st Goal - Mateusinho (Cuiaba) -,33,67,48,50,86,120,9,1,7,6
595,595.0,596.0,2023-2São PauloAmérica Mineiro,2,2023/04/22 18:30,São Paulo,América Mineiro,3,0,3,7,5,3,0,0,21' - 1st Goal - Luciano (Sao Paulo) - Shot (Assist: Araujo),53,47,38,49,114,107,6,9,11,11
596,596.0,597.0,2023-2FluminenseAthletico Paranaense,2,2023/04/22 16:00,Fluminense,Athletico Paranaense,2,0,10,6,3,3,3,1,11' - 1st Goal - Lima (Fluminense) -,62,38,62,32,129,96,7,1,8,11
597,597.0,598.0,2023-1GrêmioSantos,1,2023/04/16 18:30,Grêmio,Santos,1,0,4,11,3,3,0,1,44' - 1st Goal - Joao Pedro (Gremio) -,45,55,51,65,104,111,6,4,12,11
598,598.0,599.0,2023-1FlamengoCoritiba,1,2023/04/16 16:00,Flamengo,Coritiba,3,0,6,3,3,3,0,0,12' - 1st Goal - Ayrton (Flamengo) - Shot,59,41,82,26,147,96,8,3,8,7
599,599.0,600.0,2023-1CorinthiansCruzeiro,1,2023/04/16 16:00,Corinthians,Cruzeiro,2,1,7,4,4,2,0,0,68' - 1st Goal - Matheus Araujo (Corinthians) -,42,58,36,41,84,139,7,2,5,7
